z_sga_grupo_programa_id;cod_grupo;nome_grupo;gestor;cod_programa;idGrupo;idPrograma;
324;Fin;;super;ACR.InquireCustDocsPortlet;65;ACR.InquireCustDocsPortlet2;1
325;sup;;super;ACR.InquireCustDocsPortlet;2;ACR.InquireCustDocsPortlet2;1
326;Con;;super;ACR.InquireCustDocsView;66;ACR.InquireCustDocsView2;1
327;FCU;;super;ACR.InquireCustDocsView;4;ACR.InquireCustDocsView2;1
328;Fin;;super;ACR.InquireCustDocsView;65;ACR.InquireCustDocsView2;1
329;FT2;;super;ACR.InquireCustDocsView;360;ACR.InquireCustDocsView2;1
330;sup;;super;ACR.InquireCustDocsView;2;ACR.InquireCustDocsView2;1
331;Con;;super;ACR.InquireDocDetailView;66;ACR.InquireDocDetailView2;1
332;FCU;;super;ACR.InquireDocDetailView;4;ACR.InquireDocDetailView2;1
333;Fin;;super;ACR.InquireDocDetailView;65;ACR.InquireDocDetailView2;1
334;FT2;;super;ACR.InquireDocDetailView;360;ACR.InquireDocDetailView2;1
335;REP;;super;ACR.InquireDocDetailView;6;ACR.InquireDocDetailView2;1
336;sup;;super;ACR.InquireDocDetailView;2;ACR.InquireDocDetailView2;1
337;Con;;super;ACR.InquireRepCommPortlet;66;ACR.InquireRepCommPortlet2;1
338;Fin;;super;ACR.InquireRepCommPortlet;65;ACR.InquireRepCommPortlet2;1
339;REP;;super;ACR.InquireRepCommPortlet;6;ACR.InquireRepCommPortlet2;1
340;sup;;super;ACR.InquireRepCommPortlet;2;ACR.InquireRepCommPortlet2;1
341;Con;;super;ACR.InquireRepCommView;66;ACR.InquireRepCommView2;1
342;Fin;;super;ACR.InquireRepCommView;65;ACR.InquireRepCommView2;1
343;REP;;super;ACR.InquireRepCommView;6;ACR.InquireRepCommView2;1
344;sup;;super;ACR.InquireRepCommView;2;ACR.InquireRepCommView2;1
345;Con;;super;ACR.InquireRepCustFinInfoView;66;ACR.InquireRepCustFinInfoView2;1
346;Fin;;super;ACR.InquireRepCustFinInfoView;65;ACR.InquireRepCustFinInfoView2;1
347;REP;;super;ACR.InquireRepCustFinInfoView;6;ACR.InquireRepCustFinInfoView2;1
348;sup;;super;ACR.InquireRepCustFinInfoView;2;ACR.InquireRepCustFinInfoView2;1
349;Con;;super;ACR.InquireRepDocsPortlet;66;ACR.InquireRepDocsPortlet2;1
350;Fin;;super;ACR.InquireRepDocsPortlet;65;ACR.InquireRepDocsPortlet2;1
351;REP;;super;ACR.InquireRepDocsPortlet;6;ACR.InquireRepDocsPortlet2;1
352;sup;;super;ACR.InquireRepDocsPortlet;2;ACR.InquireRepDocsPortlet2;1
353;Con;;super;ACR.InquireRepDocsView;66;ACR.InquireRepDocsView2;1
354;Fin;;super;ACR.InquireRepDocsView;65;ACR.InquireRepDocsView2;1
355;REP;;super;ACR.InquireRepDocsView;6;ACR.InquireRepDocsView2;1
356;sup;;super;ACR.InquireRepDocsView;2;ACR.InquireRepDocsView2;1
357;Con;;super;ACR.InquireRepSettlementsView;66;ACR.InquireRepSettlementsView2;1
358;Fin;;super;ACR.InquireRepSettlementsView;65;ACR.InquireRepSettlementsView2;1
359;REP;;super;ACR.InquireRepSettlementsView;6;ACR.InquireRepSettlementsView2;1
360;sup;;super;ACR.InquireRepSettlementsView;2;ACR.InquireRepSettlementsView2;1
361;Fin;;super;acr.ViewConsultaTitAcrFechado;65;acr.ViewConsultaTitAcrFechado2;1
362;sup;;super;acr.ViewConsultaTitAcrFechado;2;acr.ViewConsultaTitAcrFechado2;1
363;sup;;super;acrcm001;2;acrcm0012;1
364;AP6;;super;acrcm002;244;acrcm0022;1
365;FAN;;super;acrcm002;24;acrcm0022;1
366;sup;;super;acrcm002;2;acrcm0022;1
367;CRA;;super;acrgm003;37;acrgm0032;1
368;GFA;;super;acrgm003;727;acrgm0032;1
369;sup;;super;acrgm003;2;acrgm0032;1
370;FN0;;super;add_aplicat_dtsul;418;add_aplicat_dtsul2;1
371;sup;;super;add_aplicat_dtsul;2;add_aplicat_dtsul2;1
372;FN0;;super;add_aplicat_dtsul_segur;418;add_aplicat_dtsul_segur2;1
373;sup;;super;add_aplicat_dtsul_segur;2;add_aplicat_dtsul_segur2;1
374;FN0;;super;add_catal_docto_anexo;418;add_catal_docto_anexo2;1
375;sup;;super;add_catal_docto_anexo;2;add_catal_docto_anexo2;1
376;FN0;;super;add_catal_img;418;add_catal_img2;1
377;sup;;super;add_catal_img;2;add_catal_img2;1
378;FN0;;super;add_catal_som;418;add_catal_som2;1
379;sup;;super;add_catal_som;2;add_catal_som2;1
380;FN0;;super;add_catal_video;418;add_catal_video2;1
381;sup;;super;add_catal_video;2;add_catal_video2;1
382;FN0;;super;add_configur_layout_impres;418;add_configur_layout_impres2;1
383;sup;;super;add_configur_layout_impres;2;add_configur_layout_impres2;1
384;FN0;;super;add_configur_tip_imprsor;418;add_configur_tip_imprsor2;1
385;sup;;super;add_configur_tip_imprsor;2;add_configur_tip_imprsor2;1
386;FN0;;super;add_configur_tip_imprsor_carac;418;add_configur_tip_imprsor_carac2;1
387;sup;;super;add_configur_tip_imprsor_carac;2;add_configur_tip_imprsor_carac2;1
388;sup;;super;add_correio_edi;2;add_correio_edi2;1
389;FN0;;super;add_docto_anexo;418;add_docto_anexo2;1
390;sup;;super;add_docto_anexo;2;add_docto_anexo2;1
391;sup;;super;add_edifact_compon;2;add_edifact_compon2;1
392;sup;;super;add_edifact_element;2;add_edifact_element2;1
393;sup;;super;add_edifact_estrut_compon;2;add_edifact_estrut_compon2;1
394;sup;;super;add_edifact_estrut_msg;2;add_edifact_estrut_msg2;1
395;sup;;super;add_edifact_estrut_segment;2;add_edifact_estrut_segment2;1
396;sup;;super;add_edifact_msg_padr;2;add_edifact_msg_padr2;1
397;sup;;super;add_edifact_qualific_element;2;add_edifact_qualific_element2;1
398;sup;;super;add_edifact_segment;2;add_edifact_segment2;1
399;sup;;super;add_edifact_vers_dic;2;add_edifact_vers_dic2;1
400;FN0;;super;add_efeito_impres;418;add_efeito_impres2;1
401;sup;;super;add_efeito_impres;2;add_efeito_impres2;1
402;sup;;super;add_format_dat_geral_edi;2;add_format_dat_geral_edi2;1
403;sup;;super;add_format_dec_geral_edi;2;add_format_dec_geral_edi2;1
404;FN0;;super;add_funcao_configur_imprsor;418;add_funcao_configur_imprsor2;1
405;sup;;super;add_funcao_configur_imprsor;2;add_funcao_configur_imprsor2;1
406;FN0;;super;add_grp_aplicat_dtsul;418;add_grp_aplicat_dtsul2;1
407;sup;;super;add_grp_aplicat_dtsul;2;add_grp_aplicat_dtsul2;1
408;ASB;;super;add_grp_usuar;888;add_grp_usuar2;1
409;FN0;;super;add_grp_usuar;418;add_grp_usuar2;1
410;sup;;super;add_grp_usuar;2;add_grp_usuar2;1
411;sup;;super;add_identif_flat_file_edi;2;add_identif_flat_file_edi2;1
412;sup;;super;add_identif_flat_file_reg;2;add_identif_flat_file_reg2;1
413;FN0;;super;add_idioma;418;add_idioma2;1
414;sup;;super;add_idioma;2;add_idioma2;1
415;FN0;;super;add_imagem;418;add_imagem2;1
416;sup;;super;add_imagem;2;add_imagem2;1
417;FN0;;super;add_impressora;418;add_impressora2;1
418;sup;;super;add_impressora;2;add_impressora2;1
419;FN0;;super;add_imprsor_usuar;418;add_imprsor_usuar2;1
420;sup;;super;add_imprsor_usuar;2;add_imprsor_usuar2;1
421;FN0;;super;add_imprsor_usuar_novo;418;add_imprsor_usuar_novo2;1
422;sup;;super;add_imprsor_usuar_novo;2;add_imprsor_usuar_novo2;1
423;FN0;;super;add_layout_impres;418;add_layout_impres2;1
424;sup;;super;add_layout_impres;2;add_layout_impres2;1
425;FN0;;super;add_layout_impres_padr;418;add_layout_impres_padr2;1
